Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,151.734975204,215.15493886215828,0.0,0.0
2,304.526506371,168.17315652653892,0.0,0.0
3,457.493988831,142.9159536925232,0.0,0.0
4,610.776760457,130.31792278007626,0.0,0.0
5,764.100402212,122.8807337375797,0.0,0.0
6,917.075679535,117.76891452805658,0.0,0.0
7,1070.0341850519999,113.5614187633946,0.0,0.0
8,1589.6731246499999,110.82313436116844,0.0,0.0
9,2465.8250321180003,120.80471625387112,0.0,0.0
10,3340.108686517,110.3249478118536,0.0,0.0
11,4215.972526580999,107.42668188688636,0.0,0.0
12,5091.8860346149995,107.63053512225086,0.0,0.0
13,5967.055082244,105.34739358559459,0.0,0.0
14,6843.361382751,105.69184096686872,0.0,0.0
15,7718.057132336,105.07220964710902,0.0,0.0
16,8594.194170384,103.12499535561037,0.0,0.0
17,9470.586078302,103.28528214621463,0.0,0.0
18,10345.344553625,102.36593760407325,0.0,0.0
19,11224.592247505001,101.38494864520817,0.0,0.0
20,12102.869551772,100.65344535978687,0.0,0.0
21,12978.88344463,100.84014077343808,0.0,0.0
22,13853.367445143,99.11334547561334,0.0,0.0
23,14729.323742652,99.16661349824068,0.0,0.0
24,15603.908819645001,99.3362518802745,0.0,0.0
25,16478.419105835,98.7715794733246,0.0,0.0
