Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,856.379809222,214.16099744543422,0.0,0.0
2,1733.328047734,164.40503283573855,0.0,0.0
3,2610.6520226869998,142.15176089075126,0.0,0.0
4,3485.359219006,155.1014865403143,0.0,0.0
5,4358.661280875001,131.89885763957966,0.0,0.0
6,5234.298997648,122.33700857242671,0.0,0.0
7,6109.954204339,117.85625200932651,0.0,0.0
8,6985.300830326,114.41448790856512,0.0,0.0
9,7861.068730142,112.80542643693309,0.0,0.0
10,8737.056451241,110.10433107190971,0.0,0.0
11,9612.808378797,107.70963051168314,0.0,0.0
12,10488.403075293001,106.22641223620388,0.0,0.0
13,11364.201044074,105.03481637618128,0.0,0.0
14,12240.299943875001,103.17906300922623,0.0,0.0
15,13116.750684957,102.71196232305851,0.0,0.0
16,13992.252161209,102.7975356986713,0.0,0.0
17,14866.500178334001,102.44016052305506,0.0,0.0
18,15742.016260572,102.01051673138842,0.0,0.0
19,16617.726079574,101.07475700831795,0.0,0.0
