Epoch,Total Runtime,Training Perplexity,Validation Perplexity
1,324.708261182,392.4280892385292,220.1632774428511
2,650.845874612,237.3781424299578,167.2344401089711
3,976.762536143,195.05982375489964,144.66004790646312
4,1302.779324525,172.51165456392553,132.7465681153107
5,1628.9509506789998,156.51020029876378,124.55052535056686
6,1955.1803000319999,144.66161377868343,119.59923852675739
7,2281.2201041400003,137.05301223761415,114.66230700449367
8,2607.4679404030003,130.42130540348424,113.82812165131863
9,2933.588461154,124.87344487332548,112.67905719463599
10,3259.53767649,120.93173671588589,111.06428786351249
11,3585.75721101,116.26546365216497,107.79492715335444
12,3911.818070751,113.64318654193863,103.90657908139083
13,4237.811576106999,112.12290185538872,103.25088914301335
14,4563.8304142179995,109.48445388989369,99.68805661566957
15,4889.739111831,107.4272585354364,98.461291154463
16,5699.581467045,112.54749645093852,105.72873623383762
17,6721.213408359,116.74099591550797,102.51764714656245
18,7742.051046947,111.45576632951075,101.99034872304374
19,8762.731550582,110.54145889197792,101.00547315818913
20,9783.243393302,110.20339554795147,100.4951627939914
21,10803.815470205001,108.94654478483929,100.62831527124425
22,11824.529886364,107.44237383437054,101.13021291196868
23,12845.027237545,107.0151495351136,101.26784448682002
24,13865.71632718,106.72845085751032,101.58422582718931
25,14885.955350428001,106.23744046264413,100.6823844996432
26,15905.943912455,94.71603996938774,94.84186642940014
27,16928.013163325,90.88841352082842,93.461387932644
