Epoch,Total Runtime,Training Perplexity,Validation Perplexity
1,300.553509115,407.2219567956211,230.47465761013464
2,601.955053348,243.69436122347088,175.04667071476086
3,903.641228741,200.76201683629543,150.4669979291292
4,1205.4084668199998,178.93781710001193,137.79556767228254
5,1507.1427230939998,161.85174673882153,128.44525079762386
6,1808.8471289699999,150.36630357670745,123.21666066933551
7,2110.5184498109998,142.49307583026174,119.1461556447679
8,2412.145819073,135.47304730315173,115.93224951319925
9,2713.832168731,129.2401303123913,112.87774502714144
10,3015.516118576,123.99036312742508,112.68709868636907
11,3317.268163615,119.88357376489779,108.22432455352741
12,3618.936673195,117.3580874109843,106.1062107086983
13,3920.574026857,113.62614760213667,104.22011733877986
14,4222.210642756,112.07091930286262,103.94393571970133
15,4523.971962562,109.14502979598478,100.25664272525222
16,4825.517649314,106.3191659055646,100.31972492283411
17,5124.842946197,105.24177846386644,100.3186246553906
18,5424.302194325,103.51973334045678,101.55072011116125
19,5857.294449183,102.70912852788766,98.61497330686078
20,6737.4675977239995,104.28400207539441,110.41436319013143
21,7614.923717908,108.54216845913369,100.52604255086092
22,8492.328355822001,105.42031021716592,100.09751541210382
23,9369.686650681,104.33344731092566,100.00726064769306
24,10247.204151238,104.6218647807633,99.1903090887893
25,11124.658367343001,104.00104971062011,98.5762715497865
26,12003.435010224,103.05202008608939,97.58306437808817
27,12882.234389050001,102.31031206706139,97.40033055616635
28,13761.309270941001,101.92362867929143,97.74406863998712
29,14638.570197440002,101.67330385242255,96.94841574215634
30,15517.499677455,100.97237171435322,96.25025287895303
31,16396.371489422,100.57849391745991,97.6333190064396
